# GOLDEN FILE. Generated by internal/panel/golden_test.go.
# Regenerate with: bash scripts/golden-update.sh
#
# Every route the panel serves, with what it answers to:
#   no-session  a browser with no session cookie at all
#   no-csrf     a signed-in browser posting without a token
# 303 is a redirect to /login or /setup. 401 is the JSON refusal. 403 is
# the CSRF refusal, deliberately not a redirect: a redirect would look
# like it worked.
#
# GET routes have no CSRF check by design; they are marked n/a.

METHOD PATH                 PUBLIC   JSON     NO-SESSION  NO-CSRF
GET    /                    false    false    303         n/a
POST   /power               false    false    303         403
POST   /cut                 false    false    303         403
GET    /help                false    false    303         n/a
POST   /config              false    false    303         403
POST   /hotspot             false    false    303         403
POST   /advanced            false    false    303         403
POST   /recover             false    false    303         403
POST   /logout              false    false    303         403
POST   /password            false    false    303         403
GET    /status.json         false    true     401         n/a
GET    /identifiers.json    false    true     401         n/a
GET    /login               true     false    200         n/a
POST   /login               true     false    403         403
GET    /setup               true     false    303         n/a
POST   /setup               true     false    403         403
GET    /assets/panel.css    true     false    200         n/a
GET    /assets/panel.js     true     false    200         n/a
GET    /favicon.svg         true     false    200         n/a
